baseline,seed,fold,auroc,auprc,f1,threshold
IsolationForest,2024,1,0.40986055776892427,0.058823529411764705,0.1111111111111111,-0.08917887302770638
LSTMAE,2024,1,0.6045068093638517,0.09149342732482989,0.1574585635359116,79408.66250000008
CNNAE,2024,1,0.38910805579425223,0.09860611843146921,0.1524822695035461,202869.40624999997
TransformerAE,2024,1,0.5330768429549775,0.08303577994319772,0.15855354659248957,43870.53125
DeepSVDD,2024,1,0.7670982735723771,0.09839228295819935,0.1791569086651054,131751232.0
IsolationForest,2024,2,0.4180574098798398,0.05760188087774295,0.10892923304927751,-0.10239321890083708
LSTMAE,2024,2,0.42773357674177814,0.06460572986571685,0.14593698175787728,1131966.849999999
CNNAE,2024,2,0.3746083212991471,0.059506790054132855,0.14054054054054055,110232.68437499991
TransformerAE,2024,2,0.42279161330753934,0.06366264528876334,0.14666666666666667,628504.375
DeepSVDD,2024,2,0.7758678237650201,0.09932432432432432,0.18070067609096496,335437632.0
IsolationForest,2024,3,0.3823170731707317,0.05898491083676269,0.11139896373056994,-0.11114740651745131
LSTMAE,2024,3,0.4189922480620155,0.06559366159948497,0.14770459081836326,1559744.6874999937
CNNAE,2024,3,0.36666036427806137,0.060348756441371686,0.14393939393939395,66166.61328125
TransformerAE,2024,3,0.5036175710594315,0.06907604444052379,0.14770459081836326,937532.0374999995
DeepSVDD,2024,3,0.7721544715447155,0.10470779220779221,0.18956649522409993,88248776.0
IsolationForest,2024,4,0.39223911903513375,0.06461173681090694,0.12138084632516703,-0.10859570216664882
LSTMAE,2024,4,0.3928958015616055,0.06590918906095045,0.14795918367346939,1517047.7099999988
CNNAE,2024,4,0.340791771503346,0.058690603425985685,0.14043583535108958,67965.48281249989
TransformerAE,2024,4,0.3884000519572988,0.06334991300969818,0.1475826972010178,923355.9524999999
DeepSVDD,2024,4,0.7802831672784478,0.11510031678986272,0.20643939393939395,450152992.0
IsolationForest,2024,5,0.3322900365153887,0.059602649006622516,0.1125,-0.11430481952265314
LSTMAE,2024,5,0.40704032148998237,0.06593212926693232,0.145610278372591,79922.81000000001
CNNAE,2024,5,0.355981568422883,0.060275421425069864,0.14883720930232558,48497.25718749971
TransformerAE,2024,5,0.5881344307270233,0.07754520071642891,0.14893617021276595,43601.4765625
DeepSVDD,2024,5,0.770735524256651,0.11099691675231244,0.1998149861239593,516813856.0
