baseline,seed,fold,auroc,auprc,f1,threshold
IsolationForest,42,1,0.7441483278461272,0.10492550396718356,0.17553956834532375,-0.036430828368823595
LSTMAE,42,1,0.7746710564315832,0.1263616336430457,0.18872266973532797,0.18918681368231768
CNNAE,42,1,0.7365263097094668,0.12146556470087468,0.17184265010351968,0.33837287485599515
TransformerAE,42,1,0.6963437879050425,0.09694729719790923,0.1452513966480447,0.001829831817885861
DeepSVDD,42,1,0.6269000173280194,0.10386600987374148,0.14473684210526316,0.0004551840334897862
IsolationForest,42,2,0.7319840921290196,0.09434018169739047,0.1580135440180587,-0.021676228083601812
LSTMAE,42,2,0.7667959791148197,0.09986920636251491,0.16859504132231404,0.1848347783088684
CNNAE,42,2,0.7550163470453325,0.09181912385105817,0.16709732988802756,0.28599760532379154
TransformerAE,42,2,0.7443419704289269,0.0893796453473619,0.15117056856187291,0.003879410307854414
DeepSVDD,42,2,0.66379007465964,0.09925628829278464,0.1426872770511296,0.00027577271685004235
IsolationForest,42,3,0.7439726036604628,0.1041220342530407,0.18131101813110181,-0.045786015443100264
LSTMAE,42,3,0.7676822669866042,0.10125392321494286,0.17153284671532848,0.11006627172231677
CNNAE,42,3,0.7403060915855061,0.10478085166123327,0.16134185303514376,0.24491309225559238
TransformerAE,42,3,0.7500050410340169,0.10546966993734297,0.17529039070749736,0.005393308680504561
DeepSVDD,42,3,0.681551159773893,0.09949835787403227,0.12944983818770225,0.00023490202991524725
IsolationForest,42,4,0.7982142130740756,0.1430822517650946,0.22964509394572025,-0.043658492701249954
LSTMAE,42,4,0.7549017613798152,0.1164196716274058,0.18055555555555555,0.14001266181468963
CNNAE,42,4,0.7049536264898508,0.08827533588740266,0.16341463414634147,0.2834010195732118
TransformerAE,42,4,0.7241233779441076,0.09279241285791534,0.1671388101983003,0.007208849471062421
DeepSVDD,42,4,0.7264623927104096,0.12251869023533224,0.18090452261306533,0.0004736315645277499
IsolationForest,42,5,0.7479605263157896,0.11299693222695542,0.21765913757700206,-0.04188781573315785
LSTMAE,42,5,0.7703694331983806,0.12140440219227357,0.19571045576407506,0.1947576069831848
CNNAE,42,5,0.7379757085020242,0.10949955648693163,0.17293233082706766,0.36886610537767406
TransformerAE,42,5,0.7023329959514171,0.09299760687762194,0.1490280777537797,0.0061360892886295915
DeepSVDD,42,5,0.7411993927125505,0.13564730122181232,0.15228426395939088,0.0008453653269680217
IsolationForest,1337,1,0.7402067810315949,0.10052516610033932,0.16238159675236807,-0.0416383649688936
LSTMAE,1337,1,0.7643851441113614,0.12470351882085397,0.17769002961500494,0.15668859124183654
CNNAE,1337,1,0.7347611621325015,0.11910078687833768,0.16766467065868262,0.33176304668188095
TransformerAE,1337,1,0.739550626696702,0.10864610853541735,0.17005545286506468,0.011549748992547402
DeepSVDD,1337,1,0.648451452665627,0.10594769878742533,0.1723076923076923,0.0013307981949765239
IsolationForest,1337,2,0.7220733909139705,0.08971542772114219,0.16238159675236807,-0.04210813925097551
LSTMAE,1337,2,0.7849655980090763,0.10782397192280335,0.18813905930470348,0.15711118876934052
CNNAE,1337,2,0.7501341921631777,0.08956077007750529,0.16246953696181965,0.268403422832489
TransformerAE,1337,2,0.7632289074318059,0.09371771527910908,0.1676470588235294,0.006724140141159296
DeepSVDD,1337,2,0.719548138388718,0.12107867761498727,0.1420345489443378,0.0003500095335766673
IsolationForest,1337,3,0.707505763582226,0.09768524007739546,0.15808383233532936,-0.05443067146740038
LSTMAE,1337,3,0.767215131167705,0.10584456486459709,0.17030896759608138,0.08286445140838625
CNNAE,1337,3,0.7326235557437542,0.1031573717790876,0.15902140672782875,0.23387531310319903
TransformerAE,1337,3,0.747108126818973,0.09659393729043152,0.16758544652701213,0.01052850028499961
DeepSVDD,1337,3,0.676997425711962,0.12215057808508112,0.1592920353982301,0.00038207055767998106
IsolationForest,1337,4,0.7736647276573242,0.1260326524987473,0.22980251346499103,-0.051941538292541944
LSTMAE,1337,4,0.7550644754505146,0.12016363614901235,0.17669172932330826,0.17404691696167005
CNNAE,1337,4,0.7009264532400439,0.0859193564022947,0.16178194607268465,0.27478675603866576
